Counter	Image	Merger (0 = no, 1 = yes)	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	0	2	8.534904130978875	2.62494374194956	0.5356042726914712	-0.8074412010018448	1.2592022881277267	0.4118776079633475	0.17615932081196434	4.0704	0.45436105
1	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	0	2	7.606209158550095	3.1025586496881883	0.5781587189255357	-0.8724711742111211	1.3992145953698285	0.4661159362775301	0.1731442332463892	3.4404	0.22944427
2	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_190.fits	1	1.86	0	1	0.0	0.0	0.5693983844333139	-2.361873816219147	4.600194716194398	0.29852464400186696	0.18196210230696552	4.3202	0.42153352
3	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_195.fits	1	1.91	0	1	0.0	0.0	0.5707231891480828	-1.982609137376521	4.340979533122819	0.13785544845479214	-0.048393714554402285	2.1291	0.768886
4	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_205.fits	1	2.0	0	2	8.854977677115992	5.730598740537327	0.6177549713763208	-0.980297346755674	4.394069001335478	0.31955399868905315	0.15621942721955814	3.0895	0.43944708
5	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	0	2	1.4918560807113954	9.27085951307307	0.5852173628956384	-1.5331056872886286	3.337804099903667	0.2594415197594482	0.10937370525465363	1.4743	0.111583926
6	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	0	1	0.0	0.0	0.6147411713379113	-1.7686502082547195	3.5146066175620305	0.19912416616315626	0.04358731263800995	1.4332	0.30369005
7	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	0	1	0.0	0.0	0.5585024407073312	-2.0297683590508915	3.649066665421819	0.18237247908883555	0.08146081523245416	1.9692	0.36478624
8	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	0	1	0.0	0.0	0.5709158994811115	-2.0439337713454084	3.996720700107765	0.1944636469238177	0.09124688724220248	2.5205	0.17433414
9	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	0	1	0.0	0.0	0.616100515958638	-2.2046669308252795	4.694262442374913	0.13050665456728575	0.1661362789002077	2.8255	0.2367951
10	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_250.fits	1	2.44	0	1	0.0	0.0	0.5997129197811348	-2.392118891277994	4.575912641387856	0.10354643334397877	0.1659528955924909	2.9169	0.17627528
11	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_260.fits	1	2.54	0	1	0.0	0.0	0.6086614371374772	-2.3506425843650165	4.643374646466759	0.11461975423737783	0.13478793166229833	2.9593	0.39390993
12	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	0	1	0.0	0.0	0.6367941496194284	-2.3087912782117344	4.69977856438315	0.08647049858576429	0.16569899973091445	2.5761	0.09598433
13	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	0	2.69	0	1	0.0	0.0	0.6272363804441317	-2.2161193210189785	4.547107101621403	0.14179123712007474	0.16724501919085996	2.5342	0.06582279
14	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_285.fits	0	2.79	0	1	0.0	0.0	0.6084919373890828	-2.2301349892201645	4.591507572679323	0.08977698448466677	0.1305758918221014	2.7373	0.19087137
15	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	0	3.62	0	1	0.0	0.0	0.5971942036910844	-2.3544262769339577	4.46311355705349	0.07303793338187749	0.11725835985926135	2.6839	0.05797101599999999
16	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	0	4.6	0	1	0.0	0.0	0.5583395019936924	-2.2410509159699443	3.8677020805019207	0.060610855178736	0.10847190812530197	2.4203	0.15011607
17	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_311.fits	0	5.18	0	1	0.0	0.0	0.5939134368798086	-2.4235744668159174	4.370126349999639	0.03618279000512936	0.12043008825463528	2.6494	0.07911733
18	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_315.fits	0	5.57	0	1	0.0	0.0	0.5892332097342883	-2.4083044171906467	4.338491340907444	0.07682987496126699	0.13365978245665733	2.6010000000000004	0.076057196
19	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_320.fits	0	6.06	0	1	0.0	0.0	0.5696456968729207	-2.2957396076561274	4.015422001447183	0.022414990036273973	0.1262030259861402	2.4607	0.06950614
20	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	0	0.05	0	1	0.0	0.0	0.5067477236936695	-1.7986973032421736	2.7333143926834853	-0.015175142713629491	-0.02793169723072786	0.8309	0.08230958
21	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	0	0.1	0	1	0.0	0.0	0.5013426648893827	-1.7493388304753472	2.6376958874924794	-0.029267707141385636	0.0012730734033305749	0.7718	0.051690272999999995
22	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	0	0.2	0	1	0.0	0.0	0.4880075895002981	-1.7815814094507572	2.671411871170398	0.012145307231402057	0.02179200011350832	0.8694	0.050973527000000005
23	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_030.fits	0	0.29	0	1	0.0	0.0	0.5314693928804174	-1.7950099940765918	2.7075989166549324	0.01944370159589774	0.03240804258100863	0.7572	0.04484784
